source,post_id,user_id,container_id,amp_prob_full,amp_prob_behavioral,is_sockpuppet,n_chars,n_words,n_emoji,n_punct,emoji_density,punct_density,is_short,is_long,is_emoji_heavy,max_token_repeat_ratio,has_repeated_chars,hour_of_day,day_of_week,is_late_night
tiktok,7070283389013590785,tiktok_6602167454897405953,7039505802012429594,0.67,0.67,,12,2,4,0,1.0,0.0,0,0,1,0.0,0,23,1,0
tiktok,7069984656712205057,tiktok_6806892048890348546,7039505802012429594,0.9,0.2,,12,2,0,3,0.0,0.25,0,0,0,0.0,0,4,1,1
tiktok,7039554342995149570,tiktok_62292279926763520,7039505802012429594,0.15,0.15,,43,8,1,0,0.125,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039548325809062657,tiktok_6798103071631344641,7039505802012429594,0.1,0.1,,141,24,0,3,0.0,0.02127659574468085,0,0,0,0.08333333333333333,0,4,3,1
tiktok,7039554396660908802,tiktok_6596066011051540481,7039505802012429594,0.1,0.1,,118,24,0,0,0.0,0.0,0,0,0,0.041666666666666664,0,4,3,1
tiktok,7039548188147352321,tiktok_7007251559429489665,7039505802012429594,0.1,0.1,,61,11,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039573810697634561,tiktok_6966437233755358209,7039505802012429594,0.2,0.2,,8,2,1,0,0.5,0.0,0,0,0,0.0,0,5,3,1
tiktok,7039523700051395329,tiktok_6783177758634820609,7039505802012429594,0.2,0.2,,62,12,5,2,0.4166666666666667,0.03225806451612903,0,0,0,0.0,0,2,3,1
tiktok,7039554504488370946,tiktok_7012981826811036698,7039505802012429594,0.2,0.2,,11,2,0,0,0.0,0.0,0,0,0,0.0,0,4,3,1
tiktok,7039554517138326274,tiktok_6596066011051540481,7039505802012429594,0.2,0.2,,90,16,4,0,0.25,0.0,0,0,0,0.0625,0,4,3,1
tiktok,7039523920512647937,tiktok_6548508083814088705,7039505802012429594,1.0,1.0,,68,9,13,1,1.0,0.014705882352941176,0,0,0,0.0,0,2,3,1
